ticker,name,naver_tab,asset_class,risk_type,region,nav,market_cap_억,return_3m_pct
364970,TIGER 바이오TOP10,2,domestic_theme,위험자산,KRX,8156.0,2682,-10.2623
385720,TIME 코스피액티브,1,domestic_equity,위험자산,KRX,20355.0,2670,38.3327
451060,1Q 200액티브,1,domestic_equity,위험자산,KRX,26902.0,2668,38.2609
302190,TIGER 중장기국채,6,bond_money_market,안전자산,KRX,50334.0,2668,-1.7997
473460,KODEX 미국서학개미,4,overseas_equity,위험자산,USA,21914.0,2611,-13.4053
196230,RISE 단기통안채,6,bond_money_market,안전자산,KRX,115692.0,2611,0.4995
448630,RISE 삼성그룹Top3채권혼합,7,mixed_bond,안전자산,KRX,13447.0,2566,13.6635
385510,KODEX 신재생에너지액티브,2,domestic_theme,위험자산,KRX,42304.0,2539,46.1408
329650,KODEX TRF3070,7,mixed_bond,안전자산,KRX,14261.0,2531,-0.9784
433330,SOL 미국S&P500,4,overseas_equity,위험자산,USA,20398.0,2525,-3.6647
0052S0,1Q 미국S&P500미국채혼합50액티브,7,mixed_bond,안전자산,KRX,11578.0,2520,-0.6742
0051G0,SOL 미국원자력SMR,4,overseas_equity,위험자산,USA,15652.0,2519,-9.0437
0000J0,PLUS 한화그룹주,2,domestic_theme,위험자산,KRX,37724.0,2506,44.9301
486450,SOL 미국AI전력인프라,4,overseas_equity,위험자산,USA,20900.0,2483,3.7055
0153K0,KODEX 주주환원고배당주,2,domestic_theme,위험자산,KRX,11367.0,2456,
213610,KODEX 삼성그룹밸류,2,domestic_theme,위험자산,KRX,16816.0,2454,26.741
0093A0,RISE AI반도체TOP10,2,domestic_theme,위험자산,KRX,31834.0,2451,91.5178
310960,TIGER 200TR,1,domestic_equity,위험자산,KRX,48576.0,2432,38.6922
448540,ACE 엔비디아채권혼합,7,mixed_bond,안전자산,KRX,24995.0,2424,-0.9966
0064K0,KODEX 금액티브,5,commodity,위험자산,KRX,13770.0,2402,-2.8377
305080,TIGER 미국채10년선물,6,bond_money_market,안전자산,KRX,13446.0,2396,0.7404
0026S0,1Q 미국S&P500,4,overseas_equity,위험자산,USA,11927.0,2392,-3.7159
461950,KODEX 2차전지핵심소재10,2,domestic_theme,위험자산,KRX,6352.0,2365,8.1427
160580,TIGER 구리실물,5,commodity,위험자산,KRX,14660.0,2356,-2.4967
354500,ACE 코스닥150,1,domestic_equity,위험자산,KRX,19668.0,2347,23.5882
0047A0,TIGER 차이나테크TOP10,4,overseas_equity,위험자산,China,11527.0,2326,-8.3131
0089D0,KODEX 금융고배당TOP10,2,domestic_theme,위험자산,KRX,12632.0,2299,16.7007
476450,KIWOOM 머니마켓액티브,6,bond_money_market,안전자산,KRX,52064.0,2284,0.7827
495230,KoAct 코리아밸류업액티브,1,domestic_equity,위험자산,KRX,25114.0,2280,42.187
422420,RISE 2차전지액티브,2,domestic_theme,위험자산,KRX,8358.0,2272,15.4608
498270,KIWOOM 미국양자컴퓨팅,4,overseas_equity,위험자산,USA,12352.0,2234,-15.5595
466930,SOL 자동차TOP3플러스,2,domestic_theme,위험자산,KRX,20982.0,2216,38.3732
266160,RISE 고배당,2,domestic_theme,위험자산,KRX,28494.0,2210,36.6437
491610,1Q CD금리액티브(합성),6,bond_money_market,안전자산,KRX,103644.0,2209,0.656
272560,RISE 단기국공채액티브,6,bond_money_market,안전자산,KRX,113594.0,2196,0.491
0048K0,KODEX 차이나휴머노이드로봇,4,overseas_equity,위험자산,China,9696.0,2186,-5.4134
190620,ACE 단기통안채,6,bond_money_market,안전자산,KRX,100848.0,2184,0.5276
0101N0,RISE AI전력인프라,2,domestic_theme,위험자산,KRX,16748.0,2150,32.6514
426020,TIME 미국S&P500액티브,4,overseas_equity,위험자산,USA,28883.0,2130,2.0146
496020,WON 전단채플러스액티브,6,bond_money_market,안전자산,KRX,51669.0,2109,0.849
472920,HK 종합채권(AA-이상)액티브,6,bond_money_market,안전자산,KRX,99929.0,2085,-1.6173
497880,SOL CD금리&머니마켓액티브,6,bond_money_market,안전자산,KRX,50115.0,2078,0.7618
483320,ACE 엔비디아밸류체인액티브,4,overseas_equity,위험자산,Other_Overseas,17651.0,2037,16.9168
200250,KIWOOM 인도Nifty50(합성),4,overseas_equity,위험자산,India,22543.0,2028,-16.0924
388420,RISE 비메모리반도체액티브,2,domestic_theme,위험자산,KRX,22188.0,2018,39.0494
143860,TIGER 헬스케어,2,domestic_theme,위험자산,KRX,49829.0,2018,2.6575
